timestamp,wind_speed,wind_direction,power,temperature,turbine_id,rated_power,exclusion_reason
2017-01-07 08:20:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-07 08:30:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-07 08:40:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-07 08:50:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-07 09:00:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-07 09:10:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-07 09:20:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-07 09:30:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-07 09:40:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-07 09:50:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-07 10:00:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-07 10:10:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-07 10:20:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-07 10:30:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-07 10:40:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-07 10:50:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-07 11:00:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-07 11:10:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-07 11:20:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-07 11:30:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-07 11:40:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-07 11:50:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-07 12:00:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-07 12:10:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-07 12:20:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-07 12:30:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-07 12:40:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-07 12:50:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-08 14:50:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-08 15:00:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-08 15:10:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-08 15:20:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-08 15:30:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-08 15:40:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-08 19:10:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-08 19:20:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-08 19:30:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-08 19:40:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-08 19:50:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-08 20:00:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-08 20:10:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-08 20:20:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-08 20:30:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-08 20:40:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-08 20:50:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-08 21:00:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-08 21:10:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-08 21:20:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-08 21:30:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-08 21:40:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-08 21:50:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-08 22:00:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-08 22:10:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-08 22:20:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
2017-01-08 22:30:00+00:00,,,,,Kelmarsh 1,2050,wind_speed_missing_or_nonfinite;power_missing_or_nonfinite;
