wind_bin,count,MAE,RMSE
0-3,1644,0.005429186752543293,0.007752793318555149
3-8,27483,0.027679699304030244,0.044156004380169846
8-12,15931,0.05949234006437857,0.0974627861341655
12-20,1948,0.09319662865182826,0.12551399519931777
