scope,feature,importance,method
global,wind_speed,0.3079386065546292,test permutation MAE increase (diagnostic only; correlated features caution)
global,temperature,0.004862978697917369,test permutation MAE increase (diagnostic only; correlated features caution)
global,wind_dir_cos,0.0027650088349583193,test permutation MAE increase (diagnostic only; correlated features caution)
global,turbine_0,0.002041840223038882,test permutation MAE increase (diagnostic only; correlated features caution)
global,day_of_year_sin,0.0015304505919611286,test permutation MAE increase (diagnostic only; correlated features caution)
global,hour_cos,0.001461737008337222,test permutation MAE increase (diagnostic only; correlated features caution)
global,turbine_4,0.0003865198087613329,test permutation MAE increase (diagnostic only; correlated features caution)
global,turbine_2,0.0003020592419912214,test permutation MAE increase (diagnostic only; correlated features caution)
global,day_of_year_cos,0.0002925170207349892,test permutation MAE increase (diagnostic only; correlated features caution)
global,hour_sin,0.0002695185076176017,test permutation MAE increase (diagnostic only; correlated features caution)
global,turbine_3,0.00011343682663194725,test permutation MAE increase (diagnostic only; correlated features caution)
global,month_sin,4.6934242482481646e-05,test permutation MAE increase (diagnostic only; correlated features caution)
global,month_cos,-6.06232862610893e-06,test permutation MAE increase (diagnostic only; correlated features caution)
global,turbine_5,-3.713910019077551e-05,test permutation MAE increase (diagnostic only; correlated features caution)
global,turbine_1,-0.00011061226129479897,test permutation MAE increase (diagnostic only; correlated features caution)
global,wind_dir_sin,-0.00017886575898682505,test permutation MAE increase (diagnostic only; correlated features caution)
